Nazwa miejscowości,Gmina,Powiat (miasto na prawach powiatu),Województwo,Identyfikator miejscowości z krajowego rejestru urzędowego podziału terytorialnego kraju TERYT
Trzebinia,Trzebinia,chrzanowski,małopolskie,944149
Trzebnica,Trzebnica,trzebnicki,dolnośląskie,987383
Trzemeszno,Trzemeszno,gnieźnieński,wielkopolskie,929701
Tuchola,Tuchola,tucholski,kujawsko-pomorskie,929724
Tuchów,Tuchów,tarnowski,małopolskie,982457
Tuczno,Tuczno,wałecki,zachodniopomorskie,967185
Tuliszków,Tuliszków,turecki,wielkopolskie,949320
Turek,Turek,turecki,wielkopolskie,949336
Tuszyn,Tuszyn,łódzki wschodni,łódzkie,968569
Twardogóra,Twardogóra,oleśnicki,dolnośląskie,987390
Tychowo,Tychowo,białogardzki,zachodniopomorskie,313839
Tychy,Tychy,Tychy,śląskie,944534
Tyczyn,Tyczyn,rzeszowski,podkarpackie,975078
Tykocin,Tykocin,białostocki,podlaskie,43446
Tyszowce,Tyszowce,tomaszowski,lubelskie,903676
Ujazd,Ujazd,strzelecki,opolskie,965967
Ujście,Ujście,pilski,wielkopolskie,967191
Ulanów,Ulanów,niżański,podkarpackie,981386
Uniejów,Uniejów,poddębicki,łódzkie,949359
Ustka,Ustka m,słupski,pomorskie,977427
Ustroń,Ustroń,cieszyński,śląskie,926677
Ustrzyki Dolne,Ustrzyki Dolne,bieszczadzki,podkarpackie,953817
Wadowice,Wadowice,wadowicki,małopolskie,926921
Wałbrzych,Wałbrzych,Wałbrzych,dolnośląskie,983681
Wałcz,Wałcz m,wałecki,zachodniopomorskie,967245
Warka,Warka,grójecki,mazowieckie,973978
Warszawa,Warszawa,Warszawa,mazowieckie,918123
Warta,Warta,sieradzki,łódzkie,976557
Wasilków,Wasilków,białostocki,podlaskie,923526
Wąbrzeźno,Wąbrzeźno m,wąbrzeski,kujawsko-pomorskie,983652
Wąchock,Wąchock,starachowicki,świętokrzyskie,276802
Wągrowiec,Wągrowiec m,wągrowiecki,wielkopolskie,967297
Wąsosz,Wąsosz,górowski,dolnośląskie,954662
Wejherowo,Wejherowo m,wejherowski,pomorskie,934984
Węgliniec,Węgliniec,zgorzelecki,dolnośląskie,936492
Węgorzewo,Węgorzewo,węgorzewski,warmińsko-mazurskie,977947
Węgorzyno,Węgorzyno,łobeski,zachodniopomorskie,980062
Węgrów,Węgrów,węgrowski,mazowieckie,975871
Wiązów,Wiązów,strzeliński,dolnośląskie,987437
Wieleń,Wieleń,czarnkowsko-trzcianecki,wielkopolskie,967334
Wielichowo,Wielichowo,grodziski,wielkopolskie,971620
Wieliczka,Wieliczka,wielicki,małopolskie,952232
Wieluń,Wieluń,wieluński,łódzkie,976586
Wieruszów,Wieruszów,wieruszowski,łódzkie,937400
Więcbork,Więcbork,sępoleński,kujawsko-pomorskie,929820
Wilamowice,Wilamowice,bielski,śląskie,926996
Wisła,Wisła,cieszyński,śląskie,927091
Witkowo,Witkowo,gnieźnieński,wielkopolskie,949388
Witnica,Witnica,gorzowski,lubuskie,935794
Wleń,Wleń,lwówecki,dolnośląskie,936500
Władysławowo,Władysławowo,pucki,pomorskie,935015
Włocławek,Włocławek m,Włocławek,kujawsko-pomorskie,984752
Włodawa,Włodawa m,włodawski,lubelskie,930294
Włoszczowa,Włoszczowa,włoszczowski,świętokrzyskie,948472
Wodzisław Śląski,Wodzisław Śląski,wodzisławski,śląskie,944853
Wojcieszów,Wojcieszów,złotoryjski,dolnośląskie,936517
Wojkowice,Wojkowice,będziński,śląskie,945232
Wojnicz,Wojnicz,tarnowski,małopolskie,836276
Wolbórz,Wolbórz,piotrkowski,łódzkie,556648
Wolbrom,Wolbrom,olkuski,małopolskie,945315
Wolin,Wolin,kamieński,zachodniopomorskie,980079
Wolsztyn,Wolsztyn,wolsztyński,wielkopolskie,988632
Wołczyn,Wołczyn,kluczborski,opolskie,965996
Wołomin,Wołomin,wołomiński,mazowieckie,921792
Wołów,Wołów,wołowski,dolnośląskie,987466
Woźniki,Woźniki,lubliniecki,śląskie,932494
Wrocław,Wrocław,Wrocław,dolnośląskie,986283
Wronki,Wronki,szamotulski,wielkopolskie,967386
Września,Września,wrzesiński,wielkopolskie,971637
Wschowa,Wschowa,wschowski,lubuskie,954685
Wyrzysk,Wyrzysk,pilski,wielkopolskie,967392
Wysoka,Wysoka,pilski,wielkopolskie,967417
Wysokie Mazowieckie,Wysokie Mazowieckie m,wysokomazowiecki,podlaskie,957620
Wyszków,Wyszków,wyszkowski,mazowieckie,966470
Wyszogród,Wyszogród,płocki,mazowieckie,969356
Wyśmierzyce,Wyśmierzyce,białobrzeski,mazowieckie,974044
Zabłudów,Zabłudów,białostocki,podlaskie,923578
Zabrze,Zabrze,Zabrze,śląskie,945380
Zagórów,Zagórów,słupecki,wielkopolskie,949431
Zagórz,Zagórz,sanocki,podkarpackie,953881
Zakliczyn,Zakliczyn,tarnowski,małopolskie,837436
Zaklików,Zaklików,stalowowolski,podkarpackie,810615
Zakopane,Zakopane,tatrzański,małopolskie,963773
Zakroczym,Zakroczym,nowodworski,mazowieckie,921869
Zalewo,Zalewo,iławski,warmińsko-mazurskie,965000
Zambrów,Zambrów m,zambrowski,podlaskie,957637
Zamość,Zamość m,Zamość,lubelskie,987510
Zator,Zator,oświęcimski,małopolskie,927576
Zawadzkie,Zawadzkie,strzelecki,opolskie,966004
Zawichost,Zawichost,sandomierski,świętokrzyskie,981417
Zawidów,Zawidów,zgorzelecki,dolnośląskie,936523
Zawiercie,Zawiercie,zawierciański,śląskie,945491
Ząbki,Ząbki,wołomiński,mazowieckie,921958
Ząbkowice Śląskie,Ząbkowice Śląskie,ząbkowicki,dolnośląskie,984692
Zbąszynek,Zbąszynek,świebodziński,lubuskie,988649
Zbąszyń,Zbąszyń,nowotomyski,wielkopolskie,988655
Zduny,Zduny,krotoszyński,wielkopolskie,937439
Zduńska Wola,Zduńska Wola m,zduńskowolski,łódzkie,976675
Zdzieszowice,Zdzieszowice,krapkowicki,opolskie,966040
Zelów,Zelów,bełchatowski,łódzkie,968664
Zgierz,Zgierz m,zgierski,łódzkie,959263
Zgorzelec,Zgorzelec m,zgorzelecki,dolnośląskie,936546
Zielona Góra,Zielona Góra,Zielona Góra,lubuskie,988313
Zielonka,Zielonka,wołomiński,mazowieckie,921970
Ziębice,Ziębice,ząbkowicki,dolnośląskie,984700
Złocieniec,Złocieniec,drawski,zachodniopomorskie,950374
Złoczew,Złoczew,sieradzki,łódzkie,976830
Złotoryja,Złotoryja m,złotoryjski,dolnośląskie,954219
Złotów,Złotów m,złotowski,wielkopolskie,967423
Złoty Stok,Złoty Stok,ząbkowicki,dolnośląskie,984723
Zwierzyniec,Zwierzyniec,zamojski,lubelskie,988253
Zwoleń,Zwoleń,zwoleński,mazowieckie,974096
Żabno,Żabno,tarnowski,małopolskie,982641
Żagań,Żagań m,żagański,lubuskie,988661
Żarki,Żarki,myszkowski,śląskie,932643
Żarów,Żarów,świdnicki,dolnośląskie,984746
Żary,Żary m,żarski,lubuskie,988684
Żelechów,Żelechów,garwoliński,mazowieckie,975983
Żerków,Żerków,jarociński,wielkopolskie,937445
Żmigród,Żmigród,trzebnicki,dolnośląskie,987503
Żnin,Żnin,żniński,kujawsko-pomorskie,929865
Żory,Żory,Żory,śląskie,945746
Żukowo,Żukowo,kartuski,pomorskie,935127
Żuromin,Żuromin,żuromiński,mazowieckie,930851
Żychlin,Żychlin,kutnowski,łódzkie,969391
Żyrardów,Żyrardów,żyrardowski,mazowieckie,977210
Żywiec,Żywiec,żywiecki,śląskie,927642
